REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x2c97f142fd57f1068d1bc60d0c3f44166d55e87f8dcc7aa8c980de40d21f2c0d', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 50000.0, 'eth', 1.607348649455924, 1647230499]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x51fbdd19c0e8fd49aa2a7038f1d26900b4f21dd96093a1e33d2f50837f91aa36', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 95000.0, 'eth', 3.2652412526730257, 1647230409]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xc8a787a8776aeb4e8df8b3fdc5d108fc21d48445f8619b5003144a7d9dd68e3f', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 100000.0, 'eth', 3.365182075156246, 1647230316]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x46d4f7d4adb921e5ac5a58097280de9bd2f47f81feb76b7724f9b63de4daa38b', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 20000.0, 'eth', 6.032343337914875, 1647230102]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xd3482ac9cacf1b02a99f46c52ef07690d55629b9901e1ec6309a060ca329f7d6', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 25000.0, 'eth', 7.524733559364926, 1647225806]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xc6fbf0a235cbd5f5d79319b199a812d117182b2eca9fed0e804eaf88fa0ec4b9', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 25000.0, 'eth', 7.520708132618574, 1647224748]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xcc6ce46180ba2fcb866678ffae7b984214618c191fd67753bc433592bc0f91b6', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 25000.0, 'eth', 7.740622632566785, 1647224620]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x8635b6cd97956f35c6602ea61ab29c06a14b844084860588a8ea2b5de437e299', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 95000.0, 'eth', 3.414693095207285, 1647224494]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xb9636e925d53f39ec61e873b8c74b3fe720b02a03d1c61922e981a0859d1805c', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'PLOT', 100000.0, 'eth', 3.483103612750873, 1647224390]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x650270643c732e76004c72806fffe2ddee6b90a552049a06fb2925dc5fe9aa65', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'REVV', 33640.53454195742, 'eth', 4.713107125957106, 1647139168]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x72f14b7780d6289875cc00cba9be3cd836dbab3d4cd4bad63e1ffb7269bf3d2e', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'REVV', 35000.0, 'eth', 3.52400360902954, 1647139153]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x5365c94cda32b5ca40e4f349f4cf67f3c2bedf3620183a54ff8d0c8ea3ebef0e', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'REVV', 50000.0, 'eth', 3.5516713717261608, 1647139028]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x11d5a1eff13df6a2fa1156f3d170008db75b5e7682b4cd1d1a6992eb721268b8', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'STOS', 2250.0, 'eth', 1.8161030064285293, 1647138452]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xbf2ce944fb7e4dc4f2f5298bd61e71931bcb2d3d3ce5c5be0603815e27f3eda9', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'STOS', 5000.0, 'eth', 1.7908650009265352, 1647137690]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x2dd4e15a1bff32246176587180a251a7f4a1b7fd47d83be3c9166c7c094bdd70', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'RFuel', 250000.0, 'eth', 2.358205543693465, 1647137582]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x19d610e67bec9db121156cf44e83308d768014a6ba51b0e7bdc041e94f476996', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'RFuel', 250000.0, 'eth', 2.3577150674630314, 1647136968]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x34120103bc145c23eed51ba86fcb08c589f072cbb4af325ca17c85dc3bb5f1f1', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'RFuel', 250000.0, 'eth', 2.3766377137951356, 1647136860]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xe2110483a896715c844e6ec163b6dd1a9cda3742b5386936e5d8820620d0f04b', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'STOS', 1750.0, 'eth', 1.834662304536517, 1647136801]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x31363e16fcabe4549919e831c9d86b116778004407d1c3adba06d6ff89a3292d', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'RFuel', 500000.0, 'eth', 4.855431168216918, 1647136649]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xddc6f12ec75231daeac63a84706722d17f2c79a39e1e9d831783333e4e4b99c1', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'STOS', 5000.0, 'eth', 3.664923490807058, 1647136433]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xf34a2453f28ba36da15895264f208e323b44528e495d0e94c5d737dba7b77688', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 10000.0, 'eth', 3.052614922423362, 1647136325]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xa211c5725ad965ac5334256369cc2a7e959ce4d6b10223db8669c918edc7cfa4', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'STOS', 1000.0, 'eth', 3.663168831412728, 1647136263]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x1b7f5bda509a5b4968639d3b943b79d0f03df3a3a00fee896fee899810173788', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'STOS', 1000.0, 'eth', 3.7697289645377943, 1647136203]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x2902cd46e6ea0edd2d580f9ca1bb866f684e279efe7168f67a78df55d5d47612', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'STOS', 5500.0, 'eth', 3.8691932371250695, 1647136115]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xb923603c2bab3a0efa3539355bb7a1c5b7f3075866784b69efd267b9525fe207', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 10000.0, 'eth', 3.0725751582091347, 1647135874]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0xc1297d7cbed90f3f0065851ae6fa686333ef16e67974afa5e6a1fe3f3eb17ff3', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 10000.0, 'eth', 3.0535184148398646, 1647135532]
REPLACE INTO %s (%s,%s,%s,%s,%s,%s,%s)  VALUES(%s,%s,%s,%s,%s,%s,%s) ['internal', 'transferhash', 'address', 'fromtoken', 'fromvalue', 'totoken', 'tovalue', 'blocktime'] ['0x20d258c45cc6cba78fdf24d5a56ac5bc62ef90574402dc9452560d8a6facf53e', '0x70dcf33ca09bd87bb2a301280331406ebd32c8a0', 'MAPS', 10000.0, 'eth', 3.0398410586366618, 1647135196]
